,Inv Item,Labels,Text
0,ARC-203081,Sparkplug,CHAMPION SPARK PLUG SPARKPLUG 530
1,ARC-192072,Head,CATERPILLAR HEAD CYLINDER ENGINE G3306 OEM REBUILT CATERPILLAR 0R4567
2,ARC-215016,Sensor - Engine - Exhaust,MURPHY SENSOR WIDEBAND MURPHY 48700025
3,ARC-192069,Head,CATERPILLAR HEAD CYLINDER ENGINE G3306 SHORT VALVE OEM REBUILT CATERPILLAR 0R4566
4,ARC-215019,Catalyst Element,MURPHY ELEMENT CATALYST 9.5 X 6 REPLACEMENT ELEMENT FOR USE ON G3306 EICS SYSTEM MURPHY E2379011
5,ARC-268884,Head,CUMMINS HEAD CYLINDER ENGINE K19/38 REBUILT CUMMINS 3646329RX
6,ARC-178879,No Flow,ARIEL CORP. TIMER DIGITAL NO FLOW 3 MINUTES PROXIMITY SWITCH FORCE FEED SHUTDOWN TRABON BATTERY POWERED ARIEL CORP. A10753
7,ARC-243873,Controller - Liquid Level,MURPHY CONTROLLER LIQUID LEVEL SNAP ACTING 2 MNPT 2000 PSI PNEUMATIC OPERATED NICKEL PLTD STL BODY
8,ARC-219847,Fluid Analysis Sample Kit,POLARIS KIT SAMPLE FLUID ANALYSIS INCLUDES: (1) 3 OZ SAMPLE JAR (1) INTEGRATED LABEL (1) RETURN MAILER (1) PRE-PAID POSTAGE LABEL POLARIS BICP
9,ARC-243027,Wire - Sparkplug,MOTORTECH WIRE ELECTRIC SPARKPLUG 16 LG MOTORTECH 068800916
10,ARC-222710,Catalyst Element,MURPHY CONVERTER CATALYTIC EICS CUMMINS KTA-19 11 IN X 5.91 IN MURPHY E2379018
11,ARC-244066,Power Supply,MURPHY POWER SUPPLY 10-30V 48V 0.5A MURPHY 50700594
12,ARC-169799,Catalyst Element,MURPHY CONVERTER CATALYTIC NSCR 5 150 LB FF SS 13 DIA X 24 LG MURPHY E2379055
13,ARC-218030,Head,CATERPILLAR HEAD CYLINDER ENGINE G3406 OEM REBUILT CATERPILLAR 20R0827
14,ARC-243803,Valve - Control,MURPHY VALVE CONTROL REVERSE ACTING ACTUATOR FAIL CLOSE CS BODY 1 MNPT X 1/2 FNPT
15,ARC-193975,Gasket - Engine - Head,CATERPILLAR KIT GASKET HEAD G3306 CATERPILLAR 1920478
16,ARC-178649,Filter - Oil,ARIEL CORP. FILTER ELEMENT SPIN ON ARIEL CORP. A0661
17,ARC-269159,Battery 12V - Wet,CONTINENTAL BATTERIES BATTERY WET CELL STARTING MARINE 12VDC 1000 CA/800 CCA SEALED LEAD ACID POST/STUD CONTINENTAL BATTERIES M241000
18,ARC-189193,Filter - Oil,BALDWIN FILTER ELEMENT SPIN ON 5.375 OD 12.094 LG 1/2 NPT BALDWIN B99
19,ARC-270222,Telematics,ENBASE COMPUTER HARDWARE TELEMATICS ENBASE ARCH1003LTEVSIKT
20,ARC-202267,Exhaust - Manifold,CATERPILLAR MANIFOLD EXHAUST WATER COOLEDFOR G3306 CATERPILLAR 9Y3638
21,ARC-269111,Telematics,ENBASE MODEM NETWORK LINKING DEVICE ENBASE RTU1003LTEA
22,ARC-169490,Regulator - Pressure,MURPHY REGULATOR PRESSURE MURPHY E2325301E
23,ARC-205350,Gasket - Engine - Valve Cover,CUMMINS GASKET SET VALVE COVER CUMMINS 4920076
24,ARC-213602,Engine Control Module,MURPHY CONTROL ENGINE ELECTRONIC MONITORING G3304NA/G3306NA/G3306TA/VRG330 EMISSIONS KIT  EICS MURPHY 48700013
25,ARC-203079,Sparkplug,CHAMPION SPARK PLUG SPARKPLUG 123 CHAMPION SPARK PLUG RN5C
26,ARC-224856,Wire - Sparkplug,CUMMINS SPARKPLUG EXTENSION CUMMINS 4333925
27,ARC-215051,Sensor - Engine,MURPHY SENSOR SPEED PICKUP SHORT SHAFT G3304NA/G3306NA/G3306TA MURPHY E2470005
28,ARC-168427,Battery 12V - Wet,CONTINENTAL BATTERIES BATTERY WET CELL STARTING BCI 24 12VDC 120 AH LEAD ACID POST/STUD
29,ARC-269496,Packing Kit,ARIEL CORP. KIT REBUILD PISTON ROD PACKING 1.125 ROD BTS 3500 PSIG ARIEL CORP. B8644K
30,ARC-203061,Sparkplug,CHAMPION SPARK PLUG SPARKPLUG 535 CHAMPION SPARK PLUG RL15B
31,ARC-268766,Battery 12V - Wet,INTERSTATE BATTERIES BATTERY MAINTENANCE FREE BCI 31 12VDC 700CCA SEALED LEAD ACID THREADED TOP POST
32,ARC-217421,Filter - Coalescer,JONELL FILTER ELEMENT COALESCER 2.938 ID 4.5 OD 12 LG 0.3 MICRON
33,ARC-189483,Filter - Air,BALDWIN FILTER ELEMENT OUTER 0.938 ID 13.813 OD 20.5 LG CUMMINS QSK 19 CUMMINS MODEL NO: QSK 19 AIR BALDWIN PA2573
34,ARC-192239,Head,CATERPILLAR HEAD CYLINDER ENGINE G3304 TALL VALVE OEM REBUILT CATERPILLAR 0R9487
35,ARC-216570,Transmitter - Pressure,MURPHY TRANSMITTER PRESSURE 1/4 FNPT 1/2 MNPT CONDUIT 0-100 PSI 316L SS HOUSING 316 SS WETTED 4-20MA SMART HART PROTOCOL EXPLOSION PROOF SUPPLY VOLTAGE=(8-30) VDC MODEL NUMBER PXTK100 MURPHY 05707735
36,ARC-167583,Pump - Water,CUMMINS PUMP WATER AUXILIARY KTA19 CUMMINS 4910310
37,ARC-215115,Engine Control Module,MURPHY DISPLAY LCD 4.3 ENGINE INTEGRATED CONTROL: IGNITION-AIR/FUEL-SPEED GOVERNING POWERVIEW MODEL PV450NV-02-CSA-EICS CAN-BASED MURPHY 48700029
